JAPONICA NIPPONBARE POSITIONS,ASSAY ID,ACCESSION,SUBPOPULATION,MISMATCH,25462764,25463321
"TSIPALA MENAHAR::IRGC 69979-1::[IRIS 313-11794]",IRIS 313-11794,IRGC 127867,ind2,0.0,A,A
"19::IRGC 70786-1::[IRIS 313-11821]",IRIS 313-11821,IRGC 127096,ind2,0.0,A,A
"BHONDU PAREWA::IRGC 70802-1::[IRIS 313-11822]",IRIS 313-11822,IRGC 135738,ind2,0.0,A,A
"BHU BHUSI::IRGC 70803-1::[IRIS 313-11823]",IRIS 313-11823,IRGC 127223,ind2,0.0,A,A
"DHANIYA PHOOL::IRGC 70811-1::[IRIS 313-11824]",IRIS 313-11824,IRGC 127317,ind2,0.0,A,A
"HANSRAJ::IRGC 70836-1::[IRIS 313-11825]",IRIS 313-11825,IRGC 135753,aro,0.0,A,A
"HIRA NAKHI::IRGC 70840-1::[IRIS 313-11826]",IRIS 313-11826,IRGC 128309,aro,0.0,A,A
"KARI GURMATIA::IRGC 70850-1::[IRIS 313-11827]",IRIS 313-11827,,ind2,0.0,A,A
"LALI GURMATIA::IRGC 70854-1::[IRIS 313-11828]",IRIS 313-11828,IRGC 127544,ind2,0.0,A,A
"MUNJI::IRGC 70928-1::[IRIS 313-11829]",IRIS 313-11829,IRGC 128396,temp,0.0,A,A
"KANDEKE YAIGAITI::IRGC 70961-1::[IRIS 313-11830]",IRIS 313-11830,IRGC 132400,ind3,0.0,A,A
"DA GU AI 7::IRGC 70075-1::[IRIS 313-11795]",IRIS 313-11795,IRGC 127291,ind1A,0.0,A,A
"KHAO' DAENG HAWM::IRGC 71001-1::[IRIS 313-11831]",IRIS 313-11831,IRGC 131999,subtrop,0.0,A,A
"AE WAWNG POO DOO::IRGC 71007-1::[IRIS 313-11832]",IRIS 313-11832,IRGC 131964,subtrop,0.0,A,A
"BOO MAE::IRGC 71058-1::[IRIS 313-11833]",IRIS 313-11833,IRGC 132276,ind3,0.0,A,A
"BUENG MONG LENG WE::IRGC 71088-1::[IRIS 313-11834]",IRIS 313-11834,IRGC 128246,subtrop,0.0,A,A
"E NOI NAH::IRGC 71138-1::[IRIS 313-11835]",IRIS 313-11835,IRGC 128287,indx,0.0,A,A
"KHAO KO RAOH::IRGC 71208-1::[IRIS 313-11836]",IRIS 313-11836,IRGC 132000,ind3,0.0,A,A
"KHAO NAHNG PRUNG::IRGC 71220-1::[IRIS 313-11837]",IRIS 313-11837,IRGC 127514,ind3,0.0,A,A
"LEUM DERN::IRGC 71288-1::[IRIS 313-11838]",IRIS 313-11838,IRGC 132389,ind3,0.0,A,A
"MUAY::IRGC 71318-1::[IRIS 313-11839]",IRIS 313-11839,IRGC 127637,ind3,0.0,A,A
"NIAW NAHK KRAD::IRGC 71352-1::[IRIS 313-11840]",IRIS 313-11840,IRGC 132412,ind3,0.0,A,A
"DU GEN CHUAN::IRGC 70083-1::[IRIS 313-11796]",IRIS 313-11796,IRGC 127345,ind1A,0.0,A,A
"NIAW NARAI::IRGC 71353-1::[IRIS 313-11841]",IRIS 313-11841,IRGC 127679,ind3,0.0,A,A
"NIAW YUANG KHANUN::IRGC 71362-1::[IRIS 313-11842]",IRIS 313-11842,,ind3,0.0,A,A
"PAN DAWK MAHK::IRGC 71380-1::[IRIS 313-11843]",IRIS 313-11843,IRGC 132290,ind3,0.0,A,A
"PUEY TAW::IRGC 71405-1::[IRIS 313-11844]",IRIS 313-11844,IRGC 127745,ind3,0.0,A,A
"SING SAI::IRGC 71442-2::[IRIS 313-11845]",IRIS 313-11845,IRGC 132369,subtrop,0.0,A,A
"TON TIA GUAY NU::IRGC 71467-1::[IRIS 313-11846]",IRIS 313-11846,IRGC 132048,subtrop,0.0,A,A
"PULUT BURUNG::IRGC 71655-1::[IRIS 313-11848]",IRIS 313-11848,IRGC 132037,ind3,0.0,A,A
"PULUT SELEMYAM::IRGC 71820-1::[IRIS 313-11849]",IRIS 313-11849,IRGC 128439,ind3,0.0,A,A
"SESAT JADI::IRGC 71834-1::[IRIS 313-11850]",IRIS 313-11850,IRGC 132041,ind3,0.0,A,A
"E ZI 32::IRGC 70127-1::[IRIS 313-11797]",IRIS 313-11797,IRGC 128289,ind1A,0.0,A,A
"DUNA AL::IRGC 71842-1::[IRIS 313-11851]",IRIS 313-11851,IRGC 135565,trop,0.0,A,A
"BAI MI ZAI 7::IRGC 71940-1::[IRIS 313-11852]",IRIS 313-11852,IRGC 127202,ind1A,0.0,A,A
"BU ZHI MING::IRGC 71971-1::[IRIS 313-11853]",IRIS 313-11853,IRGC 127242,ind1A,0.0,A,A
"CHI GU::IRGC 71988-1::[IRIS 313-11854]",IRIS 313-11854,IRGC 127276,ind1A,0.0,A,A
"DA GUAN YIN ZHAN::IRGC 72006-1::[IRIS 313-11855]",IRIS 313-11855,IRGC 127292,ind1A,0.0,A,A
"DA HEI GU::IRGC 72009-1::[IRIS 313-11856]",IRIS 313-11856,IRGC 127293,ind1A,0.0,A,A
"DA LI BAI 63::IRGC 72016-1::[IRIS 313-11857]",IRIS 313-11857,IRGC 127294,ind1A,0.0,A,A
"DA TIE ZHAN::IRGC 72029-1::[IRIS 313-11858]",IRIS 313-11858,IRGC 127300,ind1A,0.0,A,A
"DONG DU::IRGC 72037-1::[IRIS 313-11859]",IRIS 313-11859,IRGC 127339,ind1A,0.0,A,A
"GUA PAI GU::IRGC 72078-1::[IRIS 313-11860]",IRIS 313-11860,IRGC 127394,ind1A,0.0,A,A
"E ZI 100::IRGC 70192-1::[IRIS 313-11798]",IRIS 313-11798,IRGC 127365,ind1B,0.0,A,A
"HEI YAN ZHAN::IRGC 72090-1::[IRIS 313-11861]",IRIS 313-11861,IRGC 127405,ind1A,0.0,A,A
"HENG YE ZAO::IRGC 72092-1::[IRIS 313-11862]",IRIS 313-11862,IRGC 127406,ind1A,0.0,A,A
"HONG DU BAI::IRGC 72098-1::[IRIS 313-11863]",IRIS 313-11863,IRGC 127413,ind1A,0.0,A,A
"HUO QING::IRGC 72148-1::[IRIS 313-11865]",IRIS 313-11865,IRGC 127423,ind1A,0.0,A,A
"JIANG ER ZAO::IRGC 72152-1::[IRIS 313-11866]",IRIS 313-11866,IRGC 127458,ind1A,0.0,A,A
"KE SHU BAI::IRGC 72183-1::[IRIS 313-11867]",IRIS 313-11867,IRGC 127503,ind1A,0.0,A,A
"LIU LI YOU::IRGC 72198-1::[IRIS 313-11868]",IRIS 313-11868,IRGC 127569,ind1A,0.0,A,A
"MA WEI ZHAN::IRGC 72220-1::[IRIS 313-11869]",IRIS 313-11869,IRGC 127615,ind1A,0.0,A,A
"NAN JING XIAO DAO::IRGC 72236-2::[IRIS 313-11870]",IRIS 313-11870,IRGC 132429,ind1A,0.0,A,A
"E ZI 110::IRGC 70201-1::[IRIS 313-11799]",IRIS 313-11799,IRGC 127366,ind1A,0.0,A,A
"SAN ZHAO QI::IRGC 72289-1::[IRIS 313-11871]",IRIS 313-11871,IRGC 127787,ind1A,0.0,A,A
"TIE ZHONG::IRGC 72321-1::[IRIS 313-11872]",IRIS 313-11872,IRGC 127858,ind1A,0.0,A,A
"CHUBU 17::IRGC 72505-1::[IRIS 313-11875]",IRIS 313-11875,IRGC 128262,temp,0.0,A,A
"AI DA::IRGC 72567-1::[IRIS 313-11876]",IRIS 313-11876,IRGC 127113,ind1A,0.0,A,A
"AN NAN ZAO::IRGC 72576-1::[IRIS 313-11877]",IRIS 313-11877,IRGC 127125,ind1A,0.0,A,A
"BAI RI XIAN::IRGC 72588-1::[IRIS 313-11878]",IRIS 313-11878,IRGC 127203,ind1A,0.0,A,A
"FAN GENG 6::IRGC 70243-1::[IRIS 313-11800]",IRIS 313-11800,IRGC 136098,temp,0.0,A,A
"LIU TIAO XIAN::IRGC 72758-1::[IRIS 313-11881]",IRIS 313-11881,IRGC 127570,ind1A,0.0,A,A
"MAN TIAN QING::IRGC 72776-1::[IRIS 313-11882]",IRIS 313-11882,IRGC 127605,ind1A,0.0,A,A
"TIAN DAO DAO::IRGC 72837-1::[IRIS 313-11884]",IRIS 313-11884,IRGC 127857,ind1A,0.0,A,A
"YANG WAN XIAN::IRGC 72886-1::[IRIS 313-11885]",IRIS 313-11885,IRGC 127899,ind1A,0.0,A,A
"LOC TRANG MUON::IRGC 73216-1::[IRIS 313-11894]",IRIS 313-11894,IRGC 128368,indx,0.0,A,A
"BA TUC RAN::IRGC 73239-1::[IRIS 313-11895]",IRIS 313-11895,IRGC 132391,ind3,0.0,A,A
"CA HIM::IRGC 73246-1::[IRIS 313-11896]",IRIS 313-11896,IRGC 132394,ind3,0.0,A,A
"PHIT CHZK::IRGC 73317-1::[IRIS 313-11897]",IRIS 313-11897,IRGC 128431,subtrop,0.0,A,A
"MA YOO::IRGC 73507-1::[IRIS 313-11898]",IRIS 313-11898,IRGC 127617,ind3,0.0,A,A
"MAHA CHAI::IRGC 73517-1::[IRIS 313-11899]",IRIS 313-11899,IRGC 128373,indx,0.0,A,A
"PLE LIA::IRGC 73562-1::[IRIS 313-11900]",IRIS 313-11900,IRGC 128435,subtrop,0.0,A,A
"TI NGI::IRGC 73620-1::[IRIS 313-11901]",IRIS 313-11901,IRGC 132301,ind3,0.0,A,A
"CEMPO TURI::IRGC 73667-1::[IRIS 313-11902]",IRIS 313-11902,IRGC 127251,ind3,0.0,A,A
"KOMPIT::IRGC 73716-1::[IRIS 313-11903]",IRIS 313-11903,IRGC 128351,trop,0.0,A,A
"IR 4683-54-2::IRGC 72992-1::[IRIS 313-11886]",IRIS 313-11886,IRGC 127439,ind1B,0.0,A,A
"PADI SIRANDAH KUNING::IRGC 73762-1::[IRIS 313-11904]",IRIS 313-11904,IRGC 132287,ind3,0.0,A,A
"PAYO TINGGI::IRGC 73778-1::[IRIS 313-11905]",IRIS 313-11905,IRGC 132414,ind3,0.0,A,A
"SULUS BALOK::IRGC 73862-1::[IRIS 313-11906]",IRIS 313-11906,IRGC 135582,trop,0.0,A,A
"TINAROH::IRGC 73874-1::[IRIS 313-11907]",IRIS 313-11907,IRGC 128486,trop,0.0,A,A
"DUAN SHEN ZI::IRGC 73962-1::[IRIS 313-11908]",IRIS 313-11908,IRGC 128284,temp,0.0,A,A
"HONG MI JIU GONG JI::IRGC 74031-1::[IRIS 313-11909]",IRIS 313-11909,IRGC 127414,ind1A,0.0,A,A
"YU HE HONG::IRGC 74266-1::[IRIS 313-11910]",IRIS 313-11910,IRGC 127907,indx,0.0,A,A
"YUN NAN ZHAN::IRGC 74272-1::[IRIS 313-11911]",IRIS 313-11911,IRGC 127908,ind1A,0.0,A,A
"ESCONDE CACHO::IRGC 74305-1::[IRIS 313-11912]",IRIS 313-11912,IRGC 127361,ind3,0.0,A,A
"BUAGKOG::IRGC 74318-1::[IRIS 313-11913]",IRIS 313-11913,IRGC 128245,trop,0.0,A,A
"IR 19058-107-1::IRGC 72997-1::[IRIS 313-11887]",IRIS 313-11887,IRGC 127434,ind1B,0.0,A,A
"IB 11::IRGC 74420-2::[IRIS 313-11914]",IRIS 313-11914,IRGC 132252,ind2,0.0,A,A
"IB 95::IRGC 74677-1::[IRIS 313-11915]",IRIS 313-11915,IRGC 128316,trop,0.0,A,A
"LAKHA KUAR::IRGC 74760-1::[IRIS 313-11919]",IRIS 313-11919,IRGC 127542,ind2,0.0,A,A
"GI TAH::IRGC 74883-1::[IRIS 313-11920]",IRIS 313-11920,IRGC 127386,indx,0.0,A,A
"KHAO GAHB BUA::IRGC 74937-1::[IRIS 313-11921]",IRIS 313-11921,IRGC 132401,ind3,0.0,A,A
"KHAO' NAN::IRGC 74981-1::[IRIS 313-11922]",IRIS 313-11922,IRGC 128340,subtrop,0.0,A,A
"KHAO' NGAW::IRGC 74985-1::[IRIS 313-11923]",IRIS 313-11923,IRGC 128341,subtrop,0.0,A,A
"KANGRI::IRGC 73104-1::[IRIS 313-11888]",IRIS 313-11888,IRGC 127488,aus,0.0,A,A
"NAM JAM::IRGC 75069-1::[IRIS 313-11924]",IRIS 313-11924,IRGC 128400,subtrop,0.0,A,A
"SAWK GAM MAH::IRGC 75159-1::[IRIS 313-11925]",IRIS 313-11925,IRGC 132415,ind3,0.0,A,A
"SI NAM PUENG::IRGC 75165-1::[IRIS 313-11926]",IRIS 313-11926,IRGC 128472,subtrop,0.0,A,A
"YAH TOW::IRGC 75191-1::[IRIS 313-11927]",IRIS 313-11927,IRGC 127897,ind3,0.0,A,A
"DAYRON MARANGRAS::IRGC 75209-1::[IRIS 313-11928]",IRIS 313-11928,IRGC 127307,trop,0.0,A,A
"GILINGAN MARANGRAS::IRGC 75213-1::[IRIS 313-11929]",IRIS 313-11929,IRGC 127385,trop,0.0,A,A
"ITA 117::IRGC 75235-1::[IRIS 313-11930]",IRIS 313-11930,IRGC 127444,ind1B,0.0,A,A
"PEI ZAO 15::IRGC 75247-1::[IRIS 313-11931]",IRIS 313-11931,,temp,0.0,A,A
"SINDANO 3::IRGC 75279-1::[IRIS 313-11932]",IRIS 313-11932,IRGC 127808,ind2,0.0,A,A
"MURGI BRINJ::IRGC 73109-1::[IRIS 313-11889]",IRIS 313-11889,IRGC 127639,indx,0.0,A,A
"KONG KHSACH BANG KATT::IRGC 75350-1::[IRIS 313-11935]",IRIS 313-11935,IRGC 132006,ind3,0.0,A,A
"NEANG MINH TONN::IRGC 75366-2::[IRIS 313-11936]",IRIS 313-11936,,ind3,0.0,A,A
"KUNJUKUNJU::IRGC 75448-1::[IRIS 313-11937]",IRIS 313-11937,IRGC 127535,indx,0.0,A,A
"GNASSOUMADOUGOU::IRGC 75595-1::[IRIS 313-11938]",IRIS 313-11938,IRGC 131988,indx,0.0,A,A
"KAMPTI::IRGC 75626-1::[IRIS 313-11939]",IRIS 313-11939,IRGC 127484,ind3,0.0,A,A
"MALOBA (DISSI ROUGE)::IRGC 75700-1::[IRIS 313-11940]",IRIS 313-11940,IRGC 127599,indx,0.0,A,A
"MOUI SAMBA::IRGC 75751-1::[IRIS 313-11941]",IRIS 313-11941,IRGC 128394,ind1B,0.0,A,A
"I 41::IRGC 75927-1::[IRIS 313-11943]",IRIS 313-11943,IRGC 127425,ind1A,0.0,A,A
"C 722323::IRGC 73147-1::[IRIS 313-11890]",IRIS 313-11890,IRGC 128252,temp,0.0,A,A
"I 814::IRGC 76028-1::[IRIS 313-11944]",IRIS 313-11944,IRGC 127426,ind1A,0.0,A,A
"BWANGA MOUI::IRGC 76262-1::[IRIS 313-11946]",IRIS 313-11946,,trop,0.0,A,A
"BIE LEI::IRGC 76478-1::[IRIS 313-11947]",IRIS 313-11947,IRGC 127226,indx,0.0,A,A
"HOU LU BAI::IRGC 76582-1::[IRIS 313-11948]",IRIS 313-11948,IRGC 127417,ind1A,0.0,A,A
"LIU HE XI HE::IRGC 76661-1::[IRIS 313-11949]",IRIS 313-11949,IRGC 127568,ind1A,0.0,A,A
"MI GU::IRGC 76687-1::[IRIS 313-11950]",IRIS 313-11950,IRGC 127626,ind1A,0.0,A,A
"MIAO ZHAN::IRGC 76691-1::[IRIS 313-11951]",IRIS 313-11951,IRGC 127625,ind1A,0.0,A,A
"QI YUE ZHAN::IRGC 76722-1::[IRIS 313-11952]",IRIS 313-11952,IRGC 127756,ind1A,0.0,A,A
"SAN BAO GU::IRGC 76732-1::[IRIS 313-11953]",IRIS 313-11953,IRGC 127783,ind1A,0.0,A,A
"XIA HONG GU::IRGC 76803-1::[IRIS 313-11954]",IRIS 313-11954,IRGC 128504,ind1A,0.0,A,A
"YE DA GU::IRGC 76834-1::[IRIS 313-11955]",IRIS 313-11955,IRGC 127901,ind1A,0.0,A,A
"JUNGEMARSI::IRGC 76901-1::[IRIS 313-11956]",IRIS 313-11956,IRGC 128325,admix,0.0,A,A
"DAW LUEY 4-3::IRGC 76929-1::[IRIS 313-11957]",IRIS 313-11957,IRGC 127305,indx,0.0,A,A
"KAGIOS PUTI::IRGC 76965-1::[IRIS 313-11959]",IRIS 313-11959,IRGC 135756,ind3,0.0,A,A
"PORONG::IRGC 76983-1::[IRIS 313-11960]",IRIS 313-11960,IRGC 127740,ind1B,0.0,A,A
"IN TOK::IRGC 77071-1::[IRIS 313-11961]",IRIS 313-11961,IRGC 127432,ind3,0.0,A,A
"KHAO SETTI::IRGC 77084-1::[IRIS 313-11962]",IRIS 313-11962,IRGC 132002,ind3,0.0,A,A
"KARANGI::IRGC 77128-1::[IRIS 313-11963]",IRIS 313-11963,IRGC 127491,aus,0.0,A,A
"HO MOK::IRGC 73171-1::[IRIS 313-11892]",IRIS 313-11892,IRGC 135754,subtrop,0.0,A,A
"VUOTTA SAIL::IRGC 77306-1::[IRIS 313-11964]",IRIS 313-11964,IRGC 127888,ind2,0.0,A,A
"GUANG XUAN LIU HAO::IRGC 77341-1::[IRIS 313-11965]",IRIS 313-11965,IRGC 128304,ind1A,0.0,A,A
"QI GU::IRGC 77381-1::[IRIS 313-11966]",IRIS 313-11966,IRGC 127752,ind1A,0.0,A,A
"TANG DU GU::IRGC 77400-1::[IRIS 313-11967]",IRIS 313-11967,IRGC 127846,indx,0.0,A,A
"ZHAO DAN AI::IRGC 77422-1::[IRIS 313-11968]",IRIS 313-11968,IRGC 127913,ind1A,0.0,A,A
"BUNTU DOMBA 1::IRGC 77554-1::[IRIS 313-11970]",IRIS 313-11970,IRGC 127240,trop,0.0,A,A
"PARE LAMBAN BINGKA::IRGC 77601-1::[IRIS 313-11971]",IRIS 313-11971,IRGC 132029,trop,0.0,A,A
"NOINJO::IRGC 77669-1::[IRIS 313-11973]",IRIS 313-11973,IRGC 132020,temp,0.0,A,A
"NKUMBAN NDINGO::IRGC 77718-1::[IRIS 313-11974]",IRIS 313-11974,IRGC 135575,ind3,0.0,A,A
"KHAU DANH::IRGC 73201-1::[IRIS 313-11893]",IRIS 313-11893,IRGC 127519,indx,0.0,A,A
"PA LOSSES 3::IRGC 77810-1::[IRIS 313-11975]",IRIS 313-11975,,ind3,0.0,A,A
"PA MATIS::IRGC 77811-1::[IRIS 313-11976]",IRIS 313-11976,IRGC 135577,ind3,0.0,A,A
"MAMORIAKA::IRGC 77867-1::[IRIS 313-11977]",IRIS 313-11977,IRGC 127601,indx,0.0,A,A
"IR 5657-33-2::IRGC 77992-1::[IRIS 313-11978]",IRIS 313-11978,IRGC 127440,ind1B,0.0,A,A
"IR 19661-364-1-2-3::IRGC 78061-1::[IRIS 313-11979]",IRIS 313-11979,IRGC 127435,ind1B,0.0,A,A
"POTOQOIN::IRGC 78677-1::[IRIS 313-11988]",IRIS 313-11988,IRGC 132033,indx,0.0,A,A
"TAMBAS JANGKOK::IRGC 78724-1::[IRIS 313-11989]",IRIS 313-11989,IRGC 132416,ind3,0.0,A,A
"TAISEN GLUTINOUS YU 1157::IRGC 78750-1::[IRIS 313-11990]",IRIS 313-11990,IRGC 127839,ind1B,0.0,A,A
"CHON::IRGC 78776-1::[IRIS 313-11991]",IRIS 313-11991,IRGC 127282,ind3,0.0,A,A
"CHAO LAO SOUNG::IRGC 78799-1::[IRIS 313-11992]",IRIS 313-11992,IRGC 127266,ind3,0.0,A,A
"LIM MA NO MA KHIN NYUNT::IRGC 78917-1::[IRIS 313-11993]",IRIS 313-11993,IRGC 132407,indx,0.0,A,A
"KALINDIG::IRGC 78968-1::[IRIS 313-11994]",IRIS 313-11994,IRGC 131996,trop,0.0,A,A
"PINUTYUKAN::IRGC 78995-1::[IRIS 313-11995]",IRIS 313-11995,IRGC 136101,trop,0.0,A,A
"TUI (KIDAYAN)::IRGC 79058-1::[IRIS 313-11996]",IRIS 313-11996,IRGC 127869,ind3,0.0,A,A
"BARUM::IRGC 79108-1::[IRIS 313-11997]",IRIS 313-11997,IRGC 127213,ind3,0.0,A,A
"HSINCHU AI CHIO CHIENG::IRGC 78182-1::[IRIS 313-11980]",IRIS 313-11980,IRGC 127420,ind1A,0.0,A,A
"DAMNOEUB KAUN KHMOM::IRGC 79159-1::[IRIS 313-11998]",IRIS 313-11998,IRGC 131980,ind3,0.0,A,A
"KAUN TREI::IRGC 79194-1::[IRIS 313-11999]",IRIS 313-11999,IRGC 132281,ind3,0.0,A,A
"LAANG::IRGC 79258-1::[IRIS 313-12000]",IRIS 313-12000,IRGC 135569,ind3,0.0,A,A
"GYEONGSAN 1::IRGC 79404-1::[IRIS 313-12003]",IRIS 313-12003,IRGC 128305,temp,0.0,A,A
"TANALA::IRGC 79467-1::[IRIS 313-12004]",IRIS 313-12004,IRGC 132045,admix,0.0,A,A
"CHE MAH::IRGC 79480-1::[IRIS 313-12005]",IRIS 313-12005,IRGC 132395,ind3,0.0,A,A
"PADI HANGIR::IRGC 79507-1::[IRIS 313-12006]",IRIS 313-12006,IRGC 132022,trop,0.0,A,A
"JIA GEN::IRGC 79654-1::[IRIS 313-12007]",IRIS 313-12007,IRGC 127457,indx,0.0,A,A
"TAICHUNG 188::IRGC 78209-1::[IRIS 313-11981]",IRIS 313-11981,IRGC 132043,temp,0.0,A,A
"PO HE::IRGC 79701-1::[IRIS 313-12009]",IRIS 313-12009,IRGC 127736,ind1A,0.0,A,A
"YAN ZHAN::IRGC 79740-1::[IRIS 313-12010]",IRIS 313-12010,IRGC 127900,ind1A,0.0,A,A
"YU TOU ZHONG::IRGC 79749-1::[IRIS 313-12011]",IRIS 313-12011,IRGC 128510,indx,0.0,A,A
"ZAO LENG SHUI ZHAN::IRGC 79756-1::[IRIS 313-12012]",IRIS 313-12012,IRGC 127910,ind1A,0.0,A,A
"RAUSRR 4::IRGC 79785-1::[IRIS 313-12013]",IRIS 313-12013,IRGC 127767,ind2,0.0,A,A
"ADANKARU::IRGC 79842-1::[IRIS 313-12014]",IRIS 313-12014,IRGC 127105,ind2,0.0,A,A
"DOGON IRI::IRGC 79882-1::[IRIS 313-12015]",IRIS 313-12015,IRGC 127333,ind2,0.0,A,A
"EX AUBERGE::IRGC 79898-1::[IRIS 313-12016]",IRIS 313-12016,IRGC 135751,indx,0.0,A,A
"EX SANDEMA::IRGC 79964-1::[IRIS 313-12017]",IRIS 313-12017,IRGC 127364,indx,0.0,A,A
"FRENSI GBOI::IRGC 79983-1::[IRIS 313-12018]",IRIS 313-12018,IRGC 128293,trop,0.0,A,A
"ITA 131::IRGC 80025-1::[IRIS 313-12021]",IRIS 313-12021,IRGC 131992,trop,0.0,A,A
"TOS 9795::IRGC 80142-1::[IRIS 313-12024]",IRIS 313-12024,IRGC 127866,ind1B,0.0,A,A
"ACEH (SELECTION)::IRGC 80233-1::[IRIS 313-12027]",IRIS 313-12027,IRGC 131962,ind3,0.0,A,A
"KERIBAREFOR::IRGC 78454-1::[IRIS 313-11983]",IRIS 313-11983,IRGC 128337,ind2,0.0,A,A
"CHAO BONG::IRGC 80266-2::[IRIS 313-12028]",IRIS 313-12028,IRGC 132328,indx,0.0,A,A
"CHAO MEO::IRGC 80273-1::[IRIS 313-12029]",IRIS 313-12029,IRGC 132278,subtrop,0.0,A,A
"DELI 2::IRGC 80313-1::[IRIS 313-12030]",IRIS 313-12030,IRGC 131981,admix,0.0,A,A
"P T Q QINDONAAL::IRGC 80410-1::[IRIS 313-12031]",IRIS 313-12031,IRGC 128437,trop,0.0,A,A
"GAO JIAO HONG::IRGC 80920-1::[IRIS 313-12033]",IRIS 313-12033,IRGC 127377,ind1A,0.0,A,A
"CHAN LEUY::IRGC 81223-1::[IRIS 313-12036]",IRIS 313-12036,IRGC 132277,ind3,0.0,A,A
"KHMAO KDET::IRGC 81278-1::[IRIS 313-12037]",IRIS 313-12037,IRGC 132404,ind3,0.0,A,A
"MUOY KUM::IRGC 81314-1::[IRIS 313-12038]",IRIS 313-12038,IRGC 135571,ind3,0.0,A,A
"BLAU BLA::IRGC 78460-1::[IRIS 313-11984]",IRIS 313-11984,,temp,0.0,A,A
"NEANG AN::IRGC 81315-1::[IRIS 313-12039]",IRIS 313-12039,IRGC 135572,ind3,0.0,A,A
"NEANG LAU::IRGC 81328-1::[IRIS 313-12040]",IRIS 313-12040,IRGC 132285,ind3,0.0,A,A
"NOU::IRGC 81352-1::[IRIS 313-12041]",IRIS 313-12041,IRGC 132413,ind3,0.0,A,A
"PHCAR KABAS::IRGC 81357-1::[IRIS 313-12042]",IRIS 313-12042,IRGC 132031,ind3,0.0,A,A
"SAMBOK ANGKRANG::IRGC 81375-1::[IRIS 313-12043]",IRIS 313-12043,IRGC 128458,ind3,0.0,A,A
"SAR SIEM::IRGC 81386-2::[IRIS 313-12044]",IRIS 313-12044,IRGC 135641,ind3,0.0,A,A
"BUYAN::IRGC 81440-1::[IRIS 313-12045]",IRIS 313-12045,,trop,0.0,A,A
"KUJAM KURIT::IRGC 81477-1::[IRIS 313-12046]",IRIS 313-12046,IRGC 132282,ind3,0.0,A,A
"LEMAK RUSA::IRGC 81486-1::[IRIS 313-12047]",IRIS 313-12047,IRGC 132008,ind3,0.0,A,A
"LIMA::IRGC 81487-1::[IRIS 313-12048]",IRIS 313-12048,IRGC 127564,ind3,0.0,A,A
"LI TOU ZHAN::IRGC 78550-1::[IRIS 313-11985]",IRIS 313-11985,IRGC 127567,indx,0.0,A,A
"MAE HANG::IRGC 81615-2::[IRIS 313-12049]",IRIS 313-12049,IRGC 132352,ind3,0.0,A,A
"SHAN KAUK HNYIN::IRGC 81656-1::[IRIS 313-12050]",IRIS 313-12050,IRGC 128468,indx,0.0,A,A
"TINOLDO MARANGRAS::IRGC 81758-1::[IRIS 313-12051]",IRIS 313-12051,IRGC 128487,trop,0.0,A,A
"ADUKKAN::IRGC 81783-1::[IRIS 313-12052]",IRIS 313-12052,IRGC 127109,indx,0.0,A,A
"FACAGRO 406::IRGC 82049-1::[IRIS 313-12053]",IRIS 313-12053,IRGC 127367,indx,0.0,A,A
"HUA 24::IRGC 82127-1::[IRIS 313-12054]",IRIS 313-12054,IRGC 128312,temp,0.0,A,A
"LAL MOTI::IRGC 82168-1::[IRIS 313-12055]",IRIS 313-12055,IRGC 127545,aus,0.0,A,A
"AI JIAO ZI::IRGC 82255-1::[IRIS 313-12057]",IRIS 313-12057,IRGC 127116,indx,0.0,A,A
"KUL REUSEI::IRGC 82308-1::[IRIS 313-12058]",IRIS 313-12058,IRGC 132406,ind3,0.0,A,A
"LIANG GUANG::IRGC 78551-1::[IRIS 313-11986]",IRIS 313-11986,IRGC 127562,ind1A,0.0,A,A
"LIGEN 2::IRGC 82398-1::[IRIS 313-12059]",IRIS 313-12059,IRGC 128364,temp,0.0,A,A
"LIJIAN 942::IRGC 82399-1::[IRIS 313-12060]",IRIS 313-12060,IRGC 128365,japx,0.0,A,A
"YUNLEN 13::IRGC 82402-1::[IRIS 313-12061]",IRIS 313-12061,IRGC 128509,temp,0.0,A,A
"XIENG KANG::IRGC 82533-1::[IRIS 313-12063]",IRIS 313-12063,IRGC 132303,subtrop,0.0,A,A
"YERI BUTUKA::IRGC 82591-1::[IRIS 313-12065]",IRIS 313-12065,IRGC 127903,admix,0.0,A,A
"MARAMAY::IRGC 82628-1::[IRIS 313-12066]",IRIS 313-12066,IRGC 127609,ind3,0.0,A,A
"531::IRGC 82643-1::[IRIS 313-12067]",IRIS 313-12067,IRGC 127100,indx,0.0,A,A
"PULUT KETAN::IRGC 82674-2::[IRIS 313-12068]",IRIS 313-12068,IRGC 132262,trop,0.0,A,A
"IR 10120-7-2-1-4::IRGC 78628-1::[IRIS 313-11987]",IRIS 313-11987,IRGC 127433,indx,0.0,A,A
"PULUT MAS::IRGC 82676-1::[IRIS 313-12069]",IRIS 313-12069,IRGC 128438,trop,0.0,A,A
"BABELIONG::IRGC 82688-1::[IRIS 313-12070]",IRIS 313-12070,IRGC 127198,trop,0.0,A,A
"NIA::IRGC 82728-1::[IRIS 313-12071]",IRIS 313-12071,IRGC 128406,subtrop,0.0,A,A
